,total,chk_3,chk_4,ratio3
ea82a0a3,,,,
c48902c3,,,,
42fc7a96,,,,
8314ef5d,,,,
75a5fa21,,,,
2da24e49,,,,
36f00c60,,,,
16d13093,,,,
0457e5d9,,,,
822f0652,,,,
4f0183d0,,,,
472fecac,,,,
a973038f,,,,
71e92ec6,,,,
73e0c198,,,,
02bc3a32,,,,
4aa911b2,,,,
8146840e,,,,
7b67ef03,,,,
ceba5a1f,,,,
d941252e,,,,
fbe0aeb3,,,,
fcdf86f6,,,,
7f9096e2,,,,
d360aa8f,,,,
55d65062,,,,
0f7854db,,,,
7ce8594c,,,,
0d0445d7,,,,
32295db5,,,,
a42b6fe5,,,,
1c9b93a6,,,,
00a2f91a,,,,
fba43fd6,,,,
690bf061,,,,
02cea5d6,,,,
063e22d9,,,,
b8430212,,,,
48e912d4,,,,
e396e7a8,,,,
e35d4cd0,,,,
2ba7ac39,,,,
99579d66,,,,
c9ef9670,,,,
705be380,,,,
8146e83c,,,,
083c3da5,,,,
868e9e70,,,,
99d75035,,,,
2eca47a6,,,,
7eb9d88b,,,,
f74cc68c,,,,
ebbcb762,,,,
f34e75ee,,,,
033fd020,,,,
0e536323,,,,
552c5a70,,,,
d6ab45a5,,,,
e07fdde7,,,,
86fa248a,,,,
934129d9,,,,
5360e2e3,,,,
952f4d92,,,,
14c64866,,,,
ec4e82e3,,,,
2b65e1f7,,,,
6fde7d97,,,,
86a10c1a,,,,
7ea83659,,,,
aaadf32d,,,,
ea180e31,,,,
c3d9f95c,,,,
5a6215de,,,,
b1904cbc,,,,
60eb7388,,,,
3ab8bb42,,,,
1596b4b1,,,,
4099b7e9,,,,
9a252435,,,,
df3c45ea,,,,
9e72d82a,,,,
da2c514c,,,,
fc12acdc,,,,
2c1d0250,,,,
aede2c94,,,,
df61b3da,,,,
32797b51,,,,
ef300d2d,,,,
953706b8,,,,
509747c1,,,,
90a2c2f6,,,,
ecc8185b,,,,
1524c8a5,,,,
41900334,,,,
a2a55bb6,,,,
05e4aeb5,,,,
11e69232,,,,
beba46a2,,,,
bb8a8af1,,,,
667cb6dc,,,,
354dd790,,,,
689fc154,,,,
73a0792f,,,,
451b337a,,,,
b60f0fbd,,,,
6da80be9,,,,
bbbc27f2,,,,
05dd11f8,,,,
39a49a15,,,,
c6d11aac,,,,
9b90f4ee,,,,
90430e65,,,,
fdc35a87,,,,
56ff6221,,,,
97b4506d,,,,
cd77b6b5,,,,
acb7a94a,,,,
c9cd33bb,,,,
a52bab0b,,,,
60e8cfc3,,,,
c7e1d6d1,,,,
e6334657,,,,
2c1a5f72,,,,
537069b0,,,,
68a2db64,,,,
5c8b44fd,,,,
9c552712,,,,
a7effd78,,,,
4f7560c5,,,,
1a3cea7b,,,,
3a77ce71,,,,
f57ae97d,,,,
490b5837,,,,
4b4db4bb,,,,
85df2568,,,,
a0fdfda1,,,,
50440fc6,,,,
af53ae50,,,,
14628cb7,,,,
89dddc87,,,,
05276967,,,,
b4039ffd,,,,
ca316c40,,,,
20eb6fb5,,,,
fc321ef8,,,,
af619c7d,,,,
0c5a5cf8,,,,
eb556ff3,,,,
1926e369,,,,
fef09b27,,,,
15ddd6a9,,,,
1337bc7c,,,,
a42b6f29,,,,
624a108b,,,,
591efc73,,,,
22ae5a25,,,,
abd1338b,,,,
1652a572,,,,
01d72940,,,,
4eb63518,,,,
5adc4790,,,,
232a3c59,,,,
abe1ec24,,,,
4c52acbd,,,,
93a60e0b,,,,
47a04be9,,,,
678490e1,,,,
c3355eb8,,,,
a1a60065,,,,
4427b856,,,,
87ccdbbf,,,,
e949d574,,,,
0dc0a789,,,,
a661eb6c,,,,
13f0bbd9,,,,
aee90346,,,,
fd008bf8,,,,
abdc4f01,,,,
1c6eacab,,,,
7e31907d,,,,
e8b030ad,,,,
024252cf,,,,
1e8d311d,,,,
5a27fab1,,,,
214733a8,,,,
cc573281,,,,
17368faf,,,,
3fe7bc39,,,,
4da97aa8,,,,
c14a2cb6,,,,
773fad66,,,,
a968e1e8,,,,
cd88c6b0,,,,
12d5edbc,,,,
0f93d841,,,,
6e869a32,,,,
35427da7,,,,
d5bc4db3,,,,
ec8e1f9c,,,,
af97f26d,,,,
d75ff2de,,,,
